002755	 cycle: 	20	 failed: 	0	 success: 	1



002757	 cycle: 	7	 failed: 	51	 success: 	3
002757	 cycle: 	9	 failed: 	24	 success: 	1
002757	 cycle: 	10	 failed: 	6	 success: 	1
002757	 cycle: 	12	 failed: 	19	 success: 	1
002757	 cycle: 	13	 failed: 	41	 success: 	2
002757	 cycle: 	14	 failed: 	2	 success: 	1
002757	 cycle: 	15	 failed: 	6	 success: 	3
002757	 cycle: 	16	 failed: 	31	 success: 	1
002757	 cycle: 	17	 failed: 	53	 success: 	1
002757	 cycle: 	20	 failed: 	37	 success: 	1



002752	 cycle: 	7	 failed: 	0	 success: 	1
002752	 cycle: 	8	 failed: 	14	 success: 	1
002752	 cycle: 	11	 failed: 	25	 success: 	1
002752	 cycle: 	12	 failed: 	0	 success: 	1
002752	 cycle: 	13	 failed: 	9	 success: 	2
002752	 cycle: 	15	 failed: 	10	 success: 	2
002752	 cycle: 	16	 failed: 	36	 success: 	1
002752	 cycle: 	17	 failed: 	14	 success: 	2
002752	 cycle: 	19	 failed: 	4	 success: 	1
002752	 cycle: 	20	 failed: 	2	 success: 	1



002753	 cycle: 	7	 failed: 	12	 success: 	3
002753	 cycle: 	9	 failed: 	85	 success: 	4
002753	 cycle: 	10	 failed: 	70	 success: 	5
002753	 cycle: 	11	 failed: 	17	 success: 	3
002753	 cycle: 	13	 failed: 	77	 success: 	1
002753	 cycle: 	14	 failed: 	51	 success: 	1
002753	 cycle: 	15	 failed: 	22	 success: 	3
002753	 cycle: 	17	 failed: 	31	 success: 	2
002753	 cycle: 	19	 failed: 	21	 success: 	2



002751	 cycle: 	8	 failed: 	5	 success: 	1
002751	 cycle: 	10	 failed: 	0	 success: 	1
002751	 cycle: 	11	 failed: 	0	 success: 	1
002751	 cycle: 	13	 failed: 	15	 success: 	1
002751	 cycle: 	14	 failed: 	0	 success: 	1



002747	 cycle: 	7	 failed: 	2	 success: 	1
002747	 cycle: 	8	 failed: 	36	 success: 	1
002747	 cycle: 	9	 failed: 	37	 success: 	1
002747	 cycle: 	11	 failed: 	13	 success: 	2
002747	 cycle: 	12	 failed: 	8	 success: 	1
002747	 cycle: 	15	 failed: 	17	 success: 	2
002747	 cycle: 	16	 failed: 	8	 success: 	2
002747	 cycle: 	17	 failed: 	8	 success: 	2
002747	 cycle: 	18	 failed: 	17	 success: 	3
002747	 cycle: 	19	 failed: 	4	 success: 	1
002747	 cycle: 	20	 failed: 	20	 success: 	2



